,title,link
0,Bangladesh announces countrywide lockdown to curb Covid-19 spread,news.google.com/./articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2Nvcm9uYXZpcnVzLW91dGJyZWFrL3N0b3J5L2JhbmdsYWRlc2gtYW5ub3VuY2VzLWNvdW50cnl3aWRlLWxvY2tkb3duLWN1cmItY292aWQtMTktc3ByZWFkLTE4MTk1NDQtMjAyMS0wNi0yNtIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9jb3JvbmF2aXJ1cy1vdXRicmVhay9zdG9yeS9iYW5nbGFkZXNoLWFubm91bmNlcy1jb3VudHJ5d2lkZS1sb2NrZG93bi1jdXJiLWNvdmlkLTE5LXNwcmVhZC0xODE5NTQ0LTIwMjEtMDYtMjY?hl=en-IN&gl=IN&ceid=IN%3Aen
1,Latest News and Updates: Karnataka further relaxes Covid-19 lockdown norms,news.google.com/./articles/CBMib2h0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9uZXdzL25ld3NibG9ncy9sYXRlc3QtZGFpbHktbmV3cy1hbmQtdXBkYXRlcy1qdWx5LTAzL2xpdmVibG9nLzg0MDg0MjE4LmNtc9IBc2h0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9uZXdzL25ld3NibG9ncy9sYXRlc3QtZGFpbHktbmV3cy1hbmQtdXBkYXRlcy1qdWx5LTAzL2FtcF9saXZlYmxvZy84NDA4NDIxOC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Delhi govt waives 2 month-licence fee for bars in hotels, restaurants closed due to lockdown",news.google.com/./articles/CAIiEPgSm8WylCI8B43CGHLRYkAqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
3,Covid: Lockdown relaxed in Bengaluru and 18 other Karnataka districts from June 14,news.google.com/./articles/CAIiEJTCbjgBgnjtv_fV-Tl1iT8qGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
4,"Lockdown, vax drive help bring down active caseload by over 7k",news.google.com/./articles/CAIiEPfechgIoGtpPg3S5wWgIg8qGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
5,Karnataka: Kodagu could remain under lockdown,news.google.com/./articles/CAIiENZg7X3Aht4p5UuGEhGrFScqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
6,Covid: Putins lockdown lite as Moscow stops millions from dining out,news.google.com/./articles/CAIiEEXtbKW4si5mS-KQRX26bXIqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?uo=CAUikAFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9pbnRlcm5hdGlvbmFsL2NvdmlkLXB1dGluLXMtbG9ja2Rvd24tbGl0ZS1hcy1tb3Njb3ctc3RvcHMtbWlsbGlvbnMtZnJvbS1kaW5pbmctb3V0LTEyMTA3MDMwMDgxMl8xLmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
7,"Arvind Kejriwal to address media, could ease Delhi's Covid-19 lockdown",news.google.com/./articles/CAIiEFljKbxLKWThPdLjkx6PYeAqFwgEKg4IACoGCAoww7k_MMevCDCDuK0G?uo=CAUiiwFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vY2l0aWVzL2RlbGhpLW5ld3MvYXJ2aW5kLWtlanJpd2FsLXRvLWFkZHJlc3MtbWVkaWEtY291bGQtZWFzZS1kZWxoaS1zLWNvdmlkLTE5LWxvY2tkb3duLTEwMTYyMzU1NjgyNTMzNi5odG1s0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
8,"Karnataka Lockdown: State Plans to Lift Weekend Curfew, Relax Night Curfew; May Reopen Malls, Shops; BS Yediy",news.google.com/./articles/CAIiEAhXxU5Fe6zLK_i0d4dnyq4qGQgEKhAIACoHCAow5dz4CjCO8d4CMLW6uAY?hl=en-IN&gl=IN&ceid=IN%3Aen
9,"Tamil Nadu lockdown extended by a week, e-pass for inter-district travel revoked",news.google.com/./articles/CAIiEGJm_oKRGayXCkX3Phbf4LgqFwgEKg4IACoGCAoww7k_MMevCDCj7PkG?uo=CAUijgFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy90YW1pbC1uYWR1LWxvY2tkb3duLWV4dGVuZGVkLWJ5LWEtd2Vlay1lLXBhc3MtZm9yLWludGVyLWRpc3RyaWN0LXRyYXZlbC1yZXZva2VkLTEwMTYyNTI0OTExMjg0OS5odG1s0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
10,Covid-19: These Indian states ease lockdown from Monday as cases dip. Details here,news.google.com/./articles/CAIiEBqnmX3hOCigJskdsIYrkLoqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?uo=CAUibWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL2NvdmlkMTktdGhlc2UtaW5kaWFuLXN0YXRlcy1lYXNlLWxvY2tkb3duLWZyb20tbW9uZGF5LTExNjIyODk2MDE1NjU5Lmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
11,"Top 10 Covid updates: TN extends lockdown till July 12 but eases curbs on hotels, transport services",news.google.com/./articles/CBMiggFodHRwczovL3Njcm9sbC5pbi9sYXRlc3QvOTk5MTYyL3RvcC0xMC1jb3ZpZC11cGRhdGVzLXRuLWV4dGVuZHMtbG9ja2Rvd24tdGlsbC1qdWx5LTEyLWJ1dC1lYXNlcy1jdXJicy1vbi1ob3RlbHMtdHJhbnNwb3J0LXNlcnZpY2Vz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
12,Jharkhand disaster wing extends partial lockdown till July first,news.google.com/./articles/CAIiEHU1flm7nK8Mp96mkE1iKmEqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
13,Indian-origin doctors’ chief wants face masks to stay beyond lockdown in UK,news.google.com/./articles/CAIiELokCA3igFYtZ8nzDd8_kOsqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?uo=CAUigQFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy93b3JsZC9pbmRpYW5vcmlnaW4tZG9jdG9ycy1jaGllZi13YW50cy1mYWNlLW1hc2tzLXRvLXN0YXktYmV5b25kLWxvY2tkb3duLWluLXVrLTExNjI1MzE0ODgyNDI4Lmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
14,"Kerala extends lockdown till 16 June, complete shutdown during the weekend. What's allowed, what's not",news.google.com/./articles/CAIiEJiQqt8594OvR26Tsramol4qFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?uo=CAUimwFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9pbmRpYS9rZXJhbGEtZXh0ZW5kcy1sb2NrZG93bi10aWxsLTE2LWp1bmUtY29tcGxldGUtc2h1dGRvd24tZHVyaW5nLXRoZS13ZWVrZW5kLXdoYXQtcy1hbGxvd2VkLXdoYXQtcy1ub3QtMTE2MjMwNzIwNjkwOTUuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
15,Lockdown now from Thursday,news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LnRoZWRhaWx5c3Rhci5uZXQvZnJvbnRwYWdlL25ld3MvbG9ja2Rvd24tbm93LXRodXJzZGF5LTIxMTkwMTfSAU1odHRwczovL3d3dy50aGVkYWlseXN0YXIubmV0L2Zyb250cGFnZS9uZXdzL2xvY2tkb3duLW5vdy10aHVyc2RheS0yMTE5MDE3P2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen
16,"Analysis: Indonesia looked to India on lockdown, but didn't adopt its policy",news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FzaWEtcGFjaWZpYy9pbmRvbmVzaWEtbG9va2VkLWluZGlhLWxvY2tkb3duLWRpZG50LWFkb3B0LWl0cy1wb2xpY3ktMjAyMS0wNy0wMi_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
17,Tips to tackle stress and build concentration for exams amid Covid-19,news.google.com/./articles/CBMilgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2VkdWNhdGlvbi10b2RheS9mZWF0dXJlcGhpbGlhL3N0b3J5L3RpcHMtdG8tdGFja2xlLXN0cmVzcy1hbmQtYnVpbGQtY29uY2VudHJhdGlvbi1mb3ItZXhhbXMtYW1pZC1jb3ZpZC0xOS0xODIzMTQ0LTIwMjEtMDctMDLSAZoBaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvZWR1Y2F0aW9uLXRvZGF5L2ZlYXR1cmVwaGlsaWEvc3RvcnkvdGlwcy10by10YWNrbGUtc3RyZXNzLWFuZC1idWlsZC1jb25jZW50cmF0aW9uLWZvci1leGFtcy1hbWlkLWNvdmlkLTE5LTE4MjMxNDQtMjAyMS0wNy0wMg?hl=en-IN&gl=IN&ceid=IN%3Aen
18,Telangana extends Covid-19 lockdown till June 19 with some relaxation,news.google.com/./articles/CAIiECpJP2sY1zVhPL98QtjfB1QqFwgEKg4IACoGCAoww7k_MMevCDCj7PkG?uo=CAUihAFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy90ZWxhbmdhbmEtZXh0ZW5kcy1jb3ZpZC0xOS1sb2NrZG93bi10aWxsLWp1bmUtMTktd2l0aC1zb21lLXJlbGF4YXRpb24tMTAxNjIzMTY3OTE2MTkxLmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
19,Covid-19: 'Dungeons and Dragons got us through lockdown',news.google.com/./articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay13YWxlcy01NzYzNjM3ONIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay13YWxlcy01NzYzNjM3OC5hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
20,One-month Kerala lockdown costs workers Rs 10.500 crore in wages,news.google.com/./articles/CAIiEC-XDFeeu52vVhQZ-T6ziGsqGAgEKg8IACoHCAowop2lATDj4RowpbvJBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
21,"Lockdown brought people closer, improved father-child bonding",news.google.com/./articles/CAIiENuM3A7seAlI_hbZlVuGyJYqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
22,Gyms to reopen as lockdown further eased by government - 5 health tips to keep in mind to return to gym safely,news.google.com/./articles/CAIiEBKC4O6XQH2NT2cIKZhh0E0qGQgEKhAIACoHCAowr6n9CjCr4PQCMJOV2AU?hl=en-IN&gl=IN&ceid=IN%3Aen
23,"COVID updates: Lockdown to end for Brisbane and Moreton Bay, Qld records five new cases",news.google.com/./articles/CAIiEFxxWLraxWTs6WcFwy8fcbUqFwgEKg4IACoGCAow3vI9MPeaCDDEvrgG?hl=en-IN&gl=IN&ceid=IN%3Aen
24,Delhi: 9.5 lakh issued traffic violation notices during lockdown,news.google.com/./articles/CAIiELN9h7z9rA8BNJZX5p_YTKwqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?uo=CAUid2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvZGVsaGkvZGVsaGktOS01LWxha2gtaXNzdWVkLXRyYWZmaWMtdmlvbGF0aW9uLW5vdGljZXMtZHVyaW5nLWxvY2tkb3duLTczNTU1Nzgv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
25,COVID live updates: NSW records 16 new cases as Premier warns Sydney to 'stay at home',news.google.com/./articles/CAIiEAjXyAT4wOeEMN8hxZytKUUqFwgEKg4IACoGCAow3vI9MPeaCDDEvrgG?hl=en-IN&gl=IN&ceid=IN%3Aen
26,AP extends lockdown till June 20,news.google.com/./articles/CAIiEIrVmJtz3Ebd2IZWo_jWBdUqMwgEKioIACIQFQfzF3WVO_StMbN5PbPxLioUCAoiEBUH8xd1lTv0rTGzeT2z8S4w04uABw?uo=CAUiY2h0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vbmF0aW9uL2N1cnJlbnQtYWZmYWlycy8wNzA2MjEvYXAtZXh0ZW5kcy1sb2NrZG93bi10aWxsLWp1bmUtMjAuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
27,In Photos: Astronomy Photographer Of The Year’s 5 Incredible Images From Lockdown That Prove You Can Go Stargazing From Any City,news.google.com/./articles/CAIiEPzBLzJDzIZm-ObZstgSbxIqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
28,Lockdown means destitution for them,news.google.com/./articles/CAIiENCa_w1IGpTQjlFvtwZ9G-kqMwgEKioIACIQJbve6wuK-o8JJ5BGxJS9FCoUCAoiECW73usLivqPCSeQRsSUvRQwqKiHBw?hl=en-IN&gl=IN&ceid=IN%3Aen
29,Bhubaneswar NGO provides unprivileged kids smartphones to ensure education during lockdown,news.google.com/./articles/CBMiU2h0dHBzOi8vaW4ubmV3cy55YWhvby5jb20vYmh1YmFuZXN3YXItbmdvLXByb3ZpZGVzLXVucHJpdmlsZWdlZC1raWRzLTE3NDMyMDAwMy5odG1s0gFbaHR0cHM6Ly9pbi5uZXdzLnlhaG9vLmNvbS9hbXBodG1sL2JodWJhbmVzd2FyLW5nby1wcm92aWRlcy11bnByaXZpbGVnZWQta2lkcy0xNzQzMjAwMDMuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
30,Domestic workers: Caught between lockdown and stigma in Kerala,news.google.com/./articles/CAIiEJ0-CaZ7mU6m4cNbmrVTalIqGAgEKg8IACoHCAowop2lATDj4RowpbvJBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
